s[T,D,AA->AB,1a[AA]
s[T,D,AA->AB,100(123),0,0,16,7370,8397]
s[R,A,AB->AA,0(9),0,0,0,0,8483]
s[T,D,AA->AB,100(123),1,0,16,8505,9531]
s[R,A,AB->AA,0(9),1,0,0,0,9617]
s[T,D,AA->AB,100(123),2,4,16,9639,10669]
s[R,A,AB->AA,0(9),2,0,0,0,10755]
s[T,D,AA->AB,100(123),3,5,16,10779,11810]
s[R,A,AB->AA,0(9),3,0,0,0,11896]
s[T,D,AA->AB,100(123),4,5,16,11918,12950]
s[R,A,AB->AA,0(9),4,0,0,0,13036]
s[T,D,AA->AB,100(123),5,0,16,13061,14088]
s[R,A,AB->AA,0(9),5,0,0,0,14174]
s[T,D,AA->AB,100(123),6,13,16,14197,15236]
s[R,A,AB->AA,0(9),6,0,0,0,15322]
s[T,D,AA->AB,100(123),7,3,16,15344,16374]
s[R,A,AB->AA,0(9),7,0,0,0,16460]
s[T,D,AA->AB,100(123),8,1,16,16482,17509]
s[R,A,AB->AA,0(9),8,0,0,0,17595]
s[T,D,AA->AB,100(123),9,3,16,17618,18647]
s[R,A,AB->AA,0(9),9,0,0,0,18733]
s[T,D,AA->AB,100(123),10,13,16,18757,19797]
s[R,A,AB->AA,0(9),10,0,0,0,19883]
s[T,D,AA->AB,100(123),11,0,16,19905,20931]
s[R,A,AB->AA,0(9),11,0,0,0,21017]
s[T,D,AA->AB,100(123),12,1,16,21040,22068]
s[R,A,AB->AA,0(9),12,0,0,0,22154]
s[T,D,AA->AB,100(123),13,12,16,22181,23219]
s[R,A,AB->AA,0(9),13,0,0,0,23305]
s[T,D,AA->AB,100(123),14,2,16,23327,24356]
s[R,A,AB->AA,0(9),14,0,0,0,24442]
s[T,D,AA->AB,100(123),15,0,16,24467,25493]
s[R,A,AB->AA,0(9),15,0,0,0,25579]
s[T,D,AA->AB,100(123),16,10,16,25602,26639]
s[R,A,AB->AA,0(9),16,0,0,0,26725]
s[T,D,AA->AB,100(123),17,10,16,26750,27786]
s[R,A,AB->AA,0(9),17,0,0,0,27872]
s[T,D,AA->AB,100(123),18,8,16,27897,28931]
s[R,A,AB->AA,0(9),18,0,0,0,29017]
s[T,D,AA->AB,100(123),19,12,16,29041,30079]
s[R,A,AB->AA,0(9),19,0,0,0,30165]
s[T,D,AA->AB,100(123),20,15,16,30189,31230]
s[R,A,AB->AA,0(9),20,0,0,0,31316]
s[T,D,AA->AB,100(123),21,15,16,31340,32382]
s[R,A,AB->AA,0(9),21,0,0,0,32468]
s[T,D,AA->AB,100(123),22,4,16,32492,33522]
s[R,A,AB->AA,0(9),22,0,0,0,33608]
s[T,D,AA->AB,100(123),23,10,16,33631,34668]
s[R,A,AB->AA,0(9),23,0,0,0,34754]
s[T,D,AA->AB,100(123),24,14,16,34779,35819]
s[R,A,AB->AA,0(9),24,0,0,0,35905]
s[T,D,AA->AB,100(123),25,1,16,35930,36958]
s[R,A,AB->AA,0(9),25,0,0,0,37044]
s[T,D,AA->AB,100(123),26,14,16,37066,38106]
s[R,A,AB->AA,0(9),26,0,0,0,38192]
s[T,D,AA->AB,100(123),27,10,16,38217,39254]
s[R,A,AB->AA,0(9),27,0,0,0,39340]
s[T,D,AA->AB,99(122),28,12,16,39365,40395]
s[R,A,AB->AA,0(9),28,0,0,0,40481]
s[T,D,AA->AB,100(123),29,1,16,40504,41532]
s[R,A,AB->AA,0(9),29,0,0,0,41618]
s[T,D,AA->AB,100(123),30,0,16,41643,42670]
s[R,A,AB->AA,0(9),30,0,0,0,42756]
s[T,D,AA->AB,100(123),31,1,16,42779,43806]
s[R,A,AB->AA,0(9),31,0,0,0,43892]
s[T,D,AA->AB,100(123),32,8,16,43914,44949]
s[R,A,AB->AA,0(9),32,0,0,0,45035]
s[T,D,AA->AB,100(123),33,3,16,45058,46087]
s[R,A,AB->AA,0(9),33,0,0,0,46173]
s[T,D,AA->AB,100(123),34,12,16,46197,47236]
s[R,A,AB->AA,0(9),34,0,0,0,47322]
s[T,D,AA->AB,100(123),35,0,16,47345,48371]
s[R,A,AB->AA,0(9),35,0,0,0,48457]
s[T,D,AA->AB,100(123),36,12,16,48479,49517]
s[R,A,AB->AA,0(9),36,0,0,0,49603]
s[T,D,AA->AB,100(123),37,7,16,49627,50661]
s[R,A,AB->AA,0(9),37,0,0,0,50747]
s[T,D,AA->AB,100(123),38,13,16,50770,51810]
s[R,A,AB->AA,0(9),38,0,0,0,51896]
s[T,D,AA->AB,100(123),39,8,16,51918,52952]
s[R,A,AB->AA,0(9),39,0,0,0,53038]
s[T,D,AA->AB,100(123),40,3,16,53062,54091]
s[R,A,AB->AA,0(9),40,0,0,0,54177]
s[T,D,AA->AB,100(123),41,4,16,54201,55231]
s[R,A,AB->AA,0(9),41,0,0,0,55317]
s[T,D,AA->AB,100(123),42,2,16,55341,56369]
s[R,A,AB->AA,0(9),42,0,0,0,56455]
s[T,D,AA->AB,100(123),43,0,16,56480,57506]
s[R,A,AB->AA,0(9),43,0,0,0,57592]
s[T,D,AA->AB,100(123),44,2,16,57614,58643]
s[R,A,AB->AA,0(9),44,0,0,0,58729]
s[T,D,AA->AB,100(123),45,8,16,58754,59789]
s[R,A,AB->AA,0(9),45,0,0,0,59875]
s[T,D,AA->AB,100(123),46,0,16,59898,60924]
s[R,A,AB->AA,0(9),46,0,0,0,61010]
s[T,D,AA->AB,100(123),47,12,16,61033,62071]
s[R,A,AB->AA,0(9),47,0,0,0,62157]
s[T,D,AA->AB,100(123),48,15,16,62180,63222]
s[R,A,AB->AA,0(9),48,0,0,0,63308]
s[T,D,AA->AB,100(123),49,3,16,63332,64361]
s[R,A,AB->AA,0(9),49,0,0,0,64447]
