s[T,D,AA->AB,a[AA]
s[T,D,AA->AB,180(203),0,0,16,7405,9079]
s[R,A,AB->AA,0(9),0,0,0,0,9160]
s[T,D,AA->AB,180(203),1,12,16,9191,10877]
s[R,A,AB->AA,0(9),1,0,0,0,10958]
s[T,D,AA->AB,180(203),2,3,16,10987,12664]
s[R,A,AB->AA,0(9),2,0,0,0,12745]
s[T,D,AA->AB,180(203),3,4,16,12775,14453]
s[R,A,AB->AA,0(9),3,0,0,0,14534]
s[T,D,AA->AB,180(203),4,14,16,14563,16251]
s[R,A,AB->AA,0(9),4,0,0,0,16332]
s[T,D,AA->AB,180(203),5,7,16,16364,18045]
s[R,A,AB->AA,0(9),5,0,0,0,18126]
s[T,D,AA->AB,180(203),6,7,16,18156,19837]
s[R,A,AB->AA,0(9),6,0,0,0,19918]
s[T,D,AA->AB,180(203),7,6,16,19947,21627]
s[R,A,AB->AA,0(9),7,0,0,0,21708]
s[T,D,AA->AB,180(203),8,6,16,21739,23419]
s[R,A,AB->AA,0(9),8,0,0,0,23500]
s[T,D,AA->AB,180(203),9,7,16,23532,25213]
s[R,A,AB->AA,0(9),9,0,0,0,25294]
s[T,D,AA->AB,180(203),10,3,16,25324,27001]
s[R,A,AB->AA,0(9),10,0,0,0,27082]
s[T,D,AA->AB,180(203),11,7,16,27111,28792]
s[R,A,AB->AA,0(9),11,0,0,0,28873]
s[T,D,AA->AB,180(203),12,14,16,28905,30592]
s[R,A,AB->AA,0(9),12,0,0,0,30673]
s[T,D,AA->AB,180(203),13,4,16,30705,32383]
s[R,A,AB->AA,0(9),13,0,0,0,32464]
s[T,D,AA->AB,180(203),14,15,16,32493,34182]
s[R,A,AB->AA,0(9),14,0,0,0,34263]
s[T,D,AA->AB,180(203),15,7,16,34295,35976]
s[R,A,AB->AA,0(9),15,0,0,0,36057]
s[T,D,AA->AB,180(203),16,6,16,36088,37768]
s[R,A,AB->AA,0(9),16,0,0,0,37849]
s[T,D,AA->AB,180(203),17,2,16,37882,39558]
s[R,A,AB->AA,0(9),17,0,0,0,39639]
s[T,D,AA->AB,180(203),18,6,16,39670,41350]
s[R,A,AB->AA,0(9),18,0,0,0,41431]
s[T,D,AA->AB,180(203),19,15,16,41462,43151]
s[R,A,AB->AA,0(9),19,0,0,0,43232]
s[T,D,AA->AB,180(203),20,13,16,43264,44950]
s[R,A,AB->AA,0(9),20,0,0,0,45031]
s[T,D,AA->AB,180(203),21,12,16,45060,46746]
s[R,A,AB->AA,0(9),21,0,0,0,46827]
s[T,D,AA->AB,180(203),22,14,16,46857,48545]
s[R,A,AB->AA,0(9),22,0,0,0,48626]
s[T,D,AA->AB,180(203),23,15,16,48656,50345]
s[R,A,AB->AA,0(9),23,0,0,0,50426]
s[T,D,AA->AB,180(203),24,1,16,50458,52133]
s[R,A,AB->AA,0(9),24,0,0,0,52214]
s[T,D,AA->AB,180(203),25,3,16,52248,53924]
s[R,A,AB->AA,0(9),25,0,0,0,54005]
s[T,D,AA->AB,180(203),26,1,16,54035,55710]
s[R,A,AB->AA,0(9),26,0,0,0,55791]
s[T,D,AA->AB,180(203),27,7,16,55820,57501]
s[R,A,AB->AA,0(9),27,0,0,0,57582]
s[T,D,AA->AB,180(203),28,8,16,57613,59295]
s[R,A,AB->AA,0(9),28,0,0,0,59376]
s[T,D,AA->AB,180(203),29,9,16,59406,61089]
s[R,A,AB->AA,0(9),29,0,0,0,61170]
s[T,D,AA->AB,180(203),30,10,16,61202,62886]
s[R,A,AB->AA,0(9),30,0,0,0,62967]
s[T,D,AA->AB,180(203),31,11,16,62999,64684]
s[R,A,AB->AA,0(9),31,0,0,0,64765]
