s[T,D,AA->AB,1(10)a[AA]
s[T,D,AA->AB,180(203),0,6,16,7378,9058]
s[R,A,AB->AA,0(9),0,0,0,0,9139]
s[T,D,AA->AB,180(203),1,5,16,9168,10847]
s[R,A,AB->AA,0(9),1,0,0,0,10928]
s[T,D,AA->AB,180(203),2,11,16,10960,12645]
s[R,A,AB->AA,0(9),2,0,0,0,12726]
s[T,D,AA->AB,180(203),3,7,16,12754,14435]
s[R,A,AB->AA,0(9),3,0,0,0,14516]
s[T,D,AA->AB,180(203),4,6,16,14547,16227]
s[R,A,AB->AA,0(9),4,0,0,0,16308]
s[T,D,AA->AB,180(203),5,10,16,16339,18023]
s[R,A,AB->AA,0(9),5,0,0,0,18104]
s[T,D,AA->AB,180(203),6,12,16,18134,19820]
s[R,A,AB->AA,0(9),6,0,0,0,19901]
s[T,D,AA->AB,180(203),7,1,16,19930,21605]
s[R,A,AB->AA,0(9),7,0,0,0,21686]
s[T,D,AA->AB,180(203),8,12,16,21717,23403]
s[R,A,AB->AA,0(9),8,0,0,0,23484]
s[T,D,AA->AB,180(203),9,6,16,23513,25193]
s[R,A,AB->AA,0(9),9,0,0,0,25274]
s[T,D,AA->AB,180(203),10,13,16,25306,26993]
s[R,A,AB->AA,0(9),10,0,0,0,27074]
s[T,D,AA->AB,180(203),11,13,16,27106,28793]
s[R,A,AB->AA,0(9),11,0,0,0,28874]
s[T,D,AA->AB,180(203),12,14,16,28906,30594]
s[R,A,AB->AA,0(9),12,0,0,0,30675]
s[T,D,AA->AB,180(203),13,14,16,30706,32394]
s[R,A,AB->AA,0(9),13,0,0,0,32475]
s[T,D,AA->AB,180(203),14,1,16,32507,34182]
s[R,A,AB->AA,0(9),14,0,0,0,34263]
s[T,D,AA->AB,180(203),15,2,16,34295,35971]
s[R,A,AB->AA,0(9),15,0,0,0,36052]
s[T,D,AA->AB,180(203),16,9,16,36083,37766]
s[R,A,AB->AA,0(9),16,0,0,0,37847]
s[T,D,AA->AB,180(203),17,12,16,37879,39565]
s[R,A,AB->AA,0(9),17,0,0,0,39646]
s[T,D,AA->AB,180(203),18,10,16,39675,41358]
s[R,A,AB->AA,0(9),18,0,0,0,41439]
s[T,D,AA->AB,180(203),19,2,16,41466,43142]
s[R,A,AB->AA,0(9),19,0,0,0,43223]
s[T,D,AA->AB,180(203),20,2,16,43255,44931]
s[R,A,AB->AA,0(9),20,0,0,0,45012]
s[T,D,AA->AB,180(203),21,6,16,45044,46723]
s[R,A,AB->AA,0(9),21,0,0,0,46804]
s[T,D,AA->AB,180(203),22,7,16,46836,48516]
s[R,A,AB->AA,0(9),22,0,0,0,48597]
s[T,D,AA->AB,180(203),23,11,16,48628,50313]
s[R,A,AB->AA,0(9),23,0,0,0,50394]
s[T,D,AA->AB,180(203),24,9,16,50424,52107]
s[R,A,AB->AA,0(9),24,0,0,0,52188]
s[T,D,AA->AB,180(203),25,5,16,52220,53899]
s[R,A,AB->AA,0(9),25,0,0,0,53980]
s[T,D,AA->AB,180(203),26,0,16,54012,55686]
s[R,A,AB->AA,0(9),26,0,0,0,55767]
s[T,D,AA->AB,180(203),27,1,16,55795,57470]
s[R,A,AB->AA,0(9),27,0,0,0,57551]
s[T,D,AA->AB,180(203),28,12,16,57579,59265]
s[R,A,AB->AA,0(9),28,0,0,0,59346]
s[T,D,AA->AB,180(203),29,6,16,59376,61056]
s[R,A,AB->AA,0(9),29,0,0,0,61137]
s[T,D,AA->AB,180(203),30,13,16,61169,62855]
s[R,A,AB->AA,0(9),30,0,0,0,62936]
s[T,D,AA->AB,180(203),31,1,16,62965,64640]
s[R,A,AB->AA,0(9),31,0,0,0,64721]
