s[R,D,AA->AB,180(203),0,0,0,0,10688]
s[T,A,AB->AA,0(9),0,0,16,10688,10769]
s[R,D,AA->AB,180(203),1,0,0,0,12476]
s[T,A,AB->AA,0(9),1,0,16,12476,12557]
s[R,DR,AA->AB,180(203),1,0,0,0,14271]
s[T,A,AB->AA,0(9),1,0,16,14271,14352]
s[R,D,AA->AB,180(203),2,0,0,0,16061]
s[T,A,AB->AA,0(9),2,0,16,16061,16142]
s[R,D,AA->AB,180(203),3,0,0,0,17848]
s[T,A,AB->AA,0(9),3,0,16,17848,17929]
s[R,D,AA->AB,180(203),4,0,0,0,19632]
s[T,A,AB->AA,0(9),4,0,16,19632,19713]
s[R,DR,AA->AB,180(203),5,0,0,0,23225]
s[T,A,AB->AA,0(9),5,0,16,23225,23306]
s[R,DR,AA->AB,180(203),6,0,0,0,30500]
s[T,A,AB->AA,0(9),6,0,16,30500,30581]
s[R,DR,AA->AB,180(203),7,0,0,0,39566]
s[T,A,AB->AA,0(9),7,0,16,39566,39647]
s[R,D,AA->AB,180(203),8,0,0,0,41356]
s[T,A,AB->AA,0(9),8,0,16,41356,41437]
s[R,DR,AA->AB,180(203),9,0,0,0,44945]
s[T,A,AB->AA,0(9),9,0,16,44945,45026]
s[R,D,AA->AB,180(203),10,0,0,0,46731]
s[T,A,AB->AA,0(9),10,0,16,46731,46812]
s[R,DR,AA->AB,180(203),11,0,0,0,55922]
s[T,A,AB->AA,0(9),11,0,16,55922,56003]
s[R,D,AA->AB,180(203),12,0,0,0,57709]
s[T,A,AB->AA,0(9),12,0,16,57709,57790]
s[R,DR,AA->AB,180(203),13,0,0,0,64878]
s[T,A,AB->AA,0(9),13,0,16,64878,64959]
