s[R,D,AA->AB,180(203),0,0,0,0,10805]
s[T,A,AB->AA,0(9),0,0,16,10805,10886]
s[R,D,AA->AB,180(203),1,0,0,0,12603]
s[T,A,AB->AA,0(9),1,0,16,12603,12684]
s[R,D,AA->AB,180(203),2,0,0,0,14405]
s[T,A,AB->AA,0(9),2,0,16,14405,14486]
s[R,D,AA->AB,180(203),3,0,0,0,16191]
s[T,A,AB->AA,0(9),3,0,16,16191,16272]
s[R,D,AA->AB,180(203),4,0,0,0,17982]
s[T,A,AB->AA,0(9),4,0,16,17982,18063]
s[R,D,AA->AB,180(203),5,0,0,0,19782]
s[T,A,AB->AA,0(9),5,0,16,19782,19863]
s[R,D,AA->AB,180(203),6,0,0,0,21569]
s[T,A,AB->AA,0(9),6,0,16,21569,21650]
s[R,D,AA->AB,180(203),7,0,0,0,23368]
s[T,A,AB->AA,0(9),7,0,16,23368,23449]
s[R,D,AA->AB,180(203),8,0,0,0,25160]
s[T,A,AB->AA,0(9),8,0,16,25160,25241]
s[R,D,AA->AB,180(203),9,0,0,0,26959]
s[T,A,AB->AA,0(9),9,0,16,26959,27040]
s[R,D,AA->AB,180(203),10,0,0,0,28748]
s[T,A,AB->AA,0(9),10,0,16,28748,28829]
s[R,D,AA->AB,180(203),11,0,0,0,30544]
s[T,A,AB->AA,0(9),11,0,16,30544,30625]
s[R,D,AA->AB,180(203),12,0,0,0,32330]
s[T,A,AB->AA,0(9),12,0,16,32330,32411]
s[R,D,AA->AB,180(203),13,0,0,0,34127]
s[T,A,AB->AA,0(9),13,0,16,34127,34208]
s[R,D,AA->AB,180(203),14,0,0,0,35914]
s[T,A,AB->AA,0(9),14,0,16,35914,35995]
s[R,D,AA->AB,180(203),15,0,0,0,37705]
s[T,A,AB->AA,0(9),15,0,16,37705,37786]
s[R,D,AA->AB,180(203),16,0,0,0,39490]
s[T,A,AB->AA,0(9),16,0,16,39490,39571]
s[R,D,AA->AB,180(203),17,0,0,0,41284]
s[T,A,AB->AA,0(9),17,0,16,41284,41365]
s[R,D,AA->AB,180(203),18,0,0,0,43086]
s[T,A,AB->AA,0(9),18,0,16,43086,43167]
s[R,D,AA->AB,180(203),19,0,0,0,44875]
s[T,A,AB->AA,0(9),19,0,16,44875,44956]
s[R,D,AA->AB,180(203),20,0,0,0,46665]
s[T,A,AB->AA,0(9),20,0,16,46665,46746]
s[R,D,AA->AB,180(203),21,0,0,0,48454]
s[T,A,AB->AA,0(9),21,0,16,48454,48535]
s[R,D,AA->AB,180(203),22,0,0,0,50248]
s[T,A,AB->AA,0(9),22,0,16,50248,50329]
s[R,D,AA->AB,180(203),23,0,0,0,52040]
s[T,A,AB->AA,0(9),23,0,16,52040,52121]
s[R,D,AA->AB,180(203),24,0,0,0,53829]
s[T,A,AB->AA,0(9),24,0,16,53829,53910]
s[R,D,AA->AB,180(203),25,0,0,0,55623]
s[T,A,AB->AA,0(9),25,0,16,55623,55704]
s[R,D,AA->AB,180(203),26,0,0,0,57414]
s[T,A,AB->AA,0(9),26,0,16,57414,57495]
s[R,D,AA->AB,180(203),27,0,0,0,59202]
s[T,A,AB->AA,0(9),27,0,16,59202,59283]
s[R,D,AA->AB,180(203),28,0,0,0,60989]
s[T,A,AB->AA,0(9),28,0,16,60989,61070]
s[R,D,AA->AB,180(203),29,0,0,0,62776]
s[T,A,AB->AA,0(9),29,0,16,62776,62857]
s[R,D,AA->AB,180(203),30,0,0,0,64563]
s[T,A,AB->AA,0(9),30,0,16,64563,64644]
s[R,D,AA->AB,180(203),31,0,0,0,66358]
s[T,A,AB->AA,0(9),31,0,16,66358,66439]
s[R,D,AA->AB,180(203),32,0,0,0,68148]
s[T,A,AB->AA,0(9),32,0,16,68148,68229]
