s[R,A,AB->AA,0(9),55,0,0,0,19477]
s[T,D,AA->AB,1(10),56,6,16,19491,19610]
s[R,A,AB->AA,0(9),56,0,0,0,19691]
s[T,D,AA->AB,1(10),57,10,16,19707,19831]
s[R,A,AB->AA,0(9),57,0,0,0,19912]
s[T,D,AA->AB,1(10),58,12,16,19927,20052]
s[R,A,AB->AA,0(9),58,0,0,0,20133]
s[T,D,AA->AB,1(10),59,9,16,20147,20269]
s[R,A,AB->AA,0(9),59,0,0,0,20350]
s[T,D,AA->AB,1(10),60,6,16,20363,20482]
s[R,A,AB->AA,0(9),60,0,0,0,20563]
s[T,D,AA->AB,1(10),61,12,16,20579,20704]
s[R,A,AB->AA,0(9),61,0,0,0,20785]
s[T,D,AA->AB,1(10),62,9,16,20799,20921]
s[R,A,AB->AA,0(9),62,0,0,0,21002]
s[T,D,AA->AB,1(10),63,2,16,21019,21134]
s[R,A,AB->AA,0(9),63,0,0,0,21215]
s[T,D,AA->AB,1(10),64,9,16,21229,21351]
s[R,A,AB->AA,0(9),64,0,0,0,21432]
s[T,D,AA->AB,1(10),65,4,16,21445,21562]
s[R,A,AB->AA,0(9),65,0,0,0,21643]
s[T,D,AA->AB,1(10),66,12,16,21657,21782]
s[R,A,AB->AA,0(9),66,0,0,0,21863]
s[T,D,AA->AB,1(10),67,15,16,21878,22006]
s[R,A,AB->AA,0(9),67,0,0,0,22087]
s[T,D,AA->AB,1(10),68,3,16,22102,22218]
s[R,A,AB->AA,0(9),68,0,0,0,22299]
s[T,D,AA->AB,1(10),69,7,16,22313,22433]
s[R,A,AB->AA,0(9),69,0,0,0,22514]
s[T,D,AA->AB,1(10),70,2,16,22529,22644]
s[R,A,AB->AA,0(9),70,0,0,0,22725]
s[T,D,AA->AB,1(10),71,15,16,22740,22869]
s[R,A,AB->AA,0(9),71,0,0,0,22950]
s[T,D,AA->AB,1(10),72,9,16,22964,23086]
s[R,A,AB->AA,0(9),72,0,0,0,23167]
s[T,D,AA->AB,1(10),73,13,16,23179,23305]
s[R,A,AB->AA,0(9),73,0,0,0,23386]
s[T,D,AA->AB,1(10),74,14,16,23399,23526]
s[R,A,AB->AA,0(9),74,0,0,0,23607]
s[T,D,AA->AB,1(10),75,14,16,23624,23751]
s[R,A,AB->AA,0(9),75,0,0,0,23832]
s[T,D,AA->AB,1(10),76,13,16,23848,23974]
s[R,A,AB->AA,0(9),76,0,0,0,24055]
s[T,D,AA->AB,1(10),77,13,16,24072,24198]
s[R,A,AB->AA,0(9),77,0,0,0,24279]
s[T,D,AA->AB,1(10),78,6,16,24295,24415]
s[R,A,AB->AA,0(9),78,0,0,0,24496]
s[T,D,AA->AB,1(10),79,12,16,24511,24636]
s[R,A,AB->AA,0(9),79,0,0,0,24717]
s[T,D,AA->AB,1(10),80,13,16,24731,24857]
s[R,A,AB->AA,0(9),80,0,0,0,24938]
s[T,D,AA->AB,1(10),81,7,16,24951,25071]
s[R,A,AB->AA,0(9),81,0,0,0,25152]
s[T,D,AA->AB,1(10),82,8,16,25167,25288]
s[R,A,AB->AA,0(9),82,0,0,0,25369]
