s[T,D,AA->AB,100(123),25,13,16,6488a[AA]
s[T,D,AA->AB,1(10),0,0,16,7361,7474]
s[T,DR,AA->AB,1(10),0,20,32,7563,7696]
s[T,DR,AA->AB,1(10),0,5,64,7785,7903]
s[R,A,AB->AA,0(9),0,0,0,0,7984]
s[T,D,AA->AB,1(10),1,5,16,7996,8115]
s[R,A,AB->AA,0(9),1,0,0,0,8196]
s[T,D,AA->AB,1(10),2,4,16,8213,8330]
s[T,DR,AA->AB,1(10),2,12,32,8419,8544]
s[T,DR,AA->AB,1(10),2,55,64,8633,8801]
s[T,DR,AA->AB,1(10),2,113,128,8890,9116]
s[T,DR,AA->AB,1(10),2,27,128,9205,9345]
s[R,A,AB->AA,0(9),2,0,0,0,9426]
s[T,D,AA->AB,1(10),3,7,16,9439,9559]
s[R,A,AB->AA,0(9),3,0,0,0,9640]
s[T,D,AA->AB,1(10),4,10,16,9654,9777]
s[T,DR,AA->AB,1(10),4,1,32,9866,9980]
s[R,A,AB->AA,0(9),4,0,0,0,10061]
s[T,D,AA->AB,1(10),5,2,16,10078,10193]
s[T,DR,AA->AB,1(10),5,21,32,10282,10416]
s[R,A,AB->AA,0(9),5,0,0,0,10497]
s[T,D,AA->AB,1(10),6,15,16,10512,10640]
s[T,DR,AA->AB,1(10),6,14,32,10729,10856]
s[R,A,AB->AA,0(9),6,0,0,0,10937]
s[T,D,AA->AB,1(10),7,12,16,10951,11076]
s[R,A,AB->AA,0(9),7,0,0,0,11157]
s[T,D,AA->AB,1(10),8,1,16,11171,11285]
s[R,A,AB->AA,0(9),8,0,0,0,11366]
s[T,D,AA->AB,1(10),9,4,16,11382,11499]
s[T,DR,AA->AB,1(10),9,0,32,11588,11701]
s[T,DR,AA->AB,1(10),9,28,64,11790,11931]
s[R,A,AB->AA,0(9),9,0,0,0,12012]
s[T,D,AA->AB,1(10),10,7,16,12028,12148]
s[R,A,AB->AA,0(9),10,0,0,0,12229]
s[T,D,AA->AB,1(10),11,5,16,12243,12361]
s[R,A,AB->AA,0(9),11,0,0,0,12442]
s[T,D,AA->AB,1(10),12,14,16,12459,12586]
s[R,A,AB->AA,0(9),12,0,0,0,12667]
s[T,D,AA->AB,1(10),13,6,16,12683,12802]
s[T,DR,AA->AB,1(10),13,31,32,12891,13035]
s[R,A,AB->AA,0(9),13,0,0,0,13116]
s[T,D,AA->AB,1(10),14,9,16,13129,13251]
s[T,DR,AA->AB,1(10),14,21,32,13340,13474]
s[R,A,AB->AA,0(9),14,0,0,0,13555]
s[T,D,AA->AB,1(10),15,12,16,13568,13694]
s[R,A,AB->AA,0(9),15,0,0,0,13775]
s[T,D,AA->AB,1(10),16,14,16,13792,13919]
s[T,DR,AA->AB,1(10),16,3,32,14008,14124]
s[R,A,AB->AA,0(9),16,0,0,0,14205]
s[T,D,AA->AB,1(10),17,6,16,14219,14338]
s[T,DR,AA->AB,1(10),17,30,32,14427,14570]
s[R,A,AB->AA,0(9),17,0,0,0,14651]
s[T,D,AA->AB,1(10),18,1,16,14664,14778]
s[R,A,AB->AA,0(9),18,0,0,0,14859]
s[T,D,AA->AB,1(10),19,10,16,14872,14995]
s[T,DR,AA->AB,1(10),19,23,32,15084,15220]
s[R,A,AB->AA,0(9),19,0,0,0,15301]
s[T,D,AA->AB,1(10),20,15,16,15315,15443]
s[T,DR,AA->AB,1(10),20,0,32,15532,15645]
s[T,DR,AA->AB,1(10),20,55,64,15734,15902]
s[R,A,AB->AA,0(9),20,0,0,0,15983]
s[T,D,AA->AB,1(10),21,13,16,15998,16124]
s[T,DR,AA->AB,1(10),21,12,32,16213,16338]
s[T,DR,AA->AB,1(10),21,6,64,16427,16546]
s[T,DR,AA->AB,1(10),21,125,128,16635,16873]
s[R,A,AB->AA,0(9),21,0,0,0,16954]
s[T,D,AA->AB,1(10),22,9,16,16969,17091]
s[T,DR,AA->AB,1(10),22,23,32,17180,17316]
s[T,DR,AA->AB,1(10),22,52,64,17405,17570]
s[R,A,AB->AA,0(9),22,0,0,0,17651]
s[T,D,AA->AB,1(10),23,10,16,17668,17791]
s[T,DR,AA->AB,1(10),23,14,32,17880,18007]
s[R,A,AB->AA,0(9),23,0,0,0,18088]
s[T,D,AA->AB,1(10),24,9,16,18103,18225]
s[T,DR,AA->AB,1(10),24,8,32,18314,18435]
s[R,A,AB->AA,0(9),24,0,0,0,18516]
s[T,D,AA->AB,1(10),25,11,16,18529,18653]
s[R,A,AB->AA,0(9),25,0,0,0,18734]
s[T,D,AA->AB,1(10),26,2,16,18749,18864]
s[R,A,AB->AA,0(9),26,0,0,0,18945]
s[T,D,AA->AB,1(10),27,11,16,18960,19084]
s[R,A,AB->AA,0(9),27,0,0,0,19165]
s[T,D,AA->AB,1(10),28,4,16,19180,19297]
s[R,A,AB->AA,0(9),28,0,0,0,19378]
s[T,D,AA->AB,1(10),29,6,16,19391,19511]
s[T,DR,AA->AB,1(10),29,29,32,19600,19742]
s[R,A,AB->AA,0(9),29,0,0,0,19823]
s[T,D,AA->AB,1(10),30,9,16,19839,19961]
s[R,A,AB->AA,0(9),30,0,0,0,20042]
s[T,D,AA->AB,1(10),31,15,16,20058,20186]
s[T,DR,AA->AB,1(10),31,6,32,20275,20394]
s[T,DR,AA->AB,1(10),31,30,64,20483,20626]
s[R,A,AB->AA,0(9),31,0,0,0,20707]
s[T,D,AA->AB,1(10),32,1,16,20720,20834]
s[R,A,AB->AA,0(9),32,0,0,0,20915]
s[T,D,AA->AB,1(10),33,2,16,20932,21047]
s[R,A,AB->AA,0(9),33,0,0,0,21128]
s[T,D,AA->AB,1(10),34,5,16,21143,21261]
s[R,A,AB->AA,0(9),34,0,0,0,21342]
s[T,D,AA->AB,1(10),35,15,16,21359,21487]
s[R,A,AB->AA,0(9),35,0,0,0,21568]
s[T,D,AA->AB,1(10),36,14,16,21581,21708]
s[T,DR,AA->AB,1(10),36,24,32,21797,21934]
s[T,DR,AA->AB,1(10),36,32,64,22023,22168]
s[T,DR,AA->AB,1(10),36,64,128,22257,22434]
s[T,DR,AA->AB,1(10),36,80,128,22523,22716]
s[R,A,AB->AA,0(9),36,0,0,0,22797]
s[T,D,AA->AB,1(10),37,4,16,22813,22930]
s[T,DR,AA->AB,1(10),37,13,32,23019,23145]
s[R,A,AB->AA,0(9),37,0,0,0,23226]
s[T,D,AA->AB,1(10),38,15,16,23238,23366]
s[T,DR,AA->AB,1(10),38,30,32,23455,23598]
s[T,DR,AA->AB,1(10),38,24,64,23687,23824]
s[T,DR,AA->AB,1(10),38,120,128,23913,24146]
s[R,A,AB->AA,0(9),38,0,0,0,24227]
s[T,D,AA->AB,1(10),39,6,16,24242,24362]
s[R,A,AB->AA,0(9),39,0,0,0,24443]
s[T,D,AA->AB,1(10),40,1,16,24458,24572]
s[R,A,AB->AA,0(9),40,0,0,0,24653]
s[T,D,AA->AB,1(10),41,10,16,24669,24792]
s[T,DR,AA->AB,1(10),41,7,32,24881,25001]
s[R,A,AB->AA,0(9),41,0,0,0,25082]
s[T,D,AA->AB,1(10),42,11,16,25095,25219]
s[R,A,AB->AA,0(9),42,0,0,0,25300]
s[T,D,AA->AB,1(10),43,9,16,25316,25438]
s[T,DR,AA->AB,1(10),43,13,32,25527,25653]
s[T,DR,AA->AB,1(10),43,34,64,25742,25889]
s[T,DR,AA->AB,1(10),43,21,128,25978,26112]
s[R,A,AB->AA,0(9),43,0,0,0,26193]
s[T,D,AA->AB,1(10),44,7,16,26210,26330]
s[R,A,AB->AA,0(9),44,0,0,0,26411]
s[T,D,AA->AB,1(10),45,8,16,26425,26546]
s[R,A,AB->AA,0(9),45,0,0,0,26627]
s[T,D,AA->AB,1(10),46,1,16,26641,26755]
s[R,A,AB->AA,0(9),46,0,0,0,26836]
s[T,D,AA->AB,1(10),47,4,16,26852,26969]
s[R,A,AB->AA,0(9),47,0,0,0,27050]
s[T,D,AA->AB,1(10),48,4,16,27064,27181]
s[T,DR,AA->AB,1(10),48,17,32,27270,27400]
s[R,A,AB->AA,0(9),48,0,0,0,27481]
s[T,D,AA->AB,1(10),49,8,16,27494,27615]
s[R,A,AB->AA,0(9),49,0,0,0,27696]
s[T,D,AA->AB,1(10),50,15,16,27710,27838]
s[T,DR,AA->AB,1(10),50,23,32,27927,28063]
s[T,DR,AA->AB,1(10),50,58,64,28152,28323]
s[T,DR,AA->AB,1(10),50,105,128,28412,28630]
s[R,A,AB->AA,0(9),50,0,0,0,28711]
s[T,D,AA->AB,1(10),51,0,16,28726,28839]
s[R,A,AB->AA,0(9),51,0,0,0,28920]
s[T,D,AA->AB,1(10),52,5,16,28937,29055]
s[T,DR,AA->AB,1(10),52,1,32,29144,29258]
s[R,A,AB->AA,0(9),52,0,0,0,29339]
s[T,D,AA->AB,1(10),53,5,16,29355,29473]
s[T,DR,AA->AB,1(10),53,4,32,29562,29679]
s[T,DR,AA->AB,1(10),53,28,64,29768,29909]
s[R,A,AB->AA,0(9),53,0,0,0,29990]
s[T,D,AA->AB,1(10),54,3,16,30005,30121]
s[R,A,AB->AA,0(9),54,0,0,0,30202]
s[T,D,AA->AB,1(10),55,0,16,30217,30330]
s[T,DR,AA->AB,1(10),55,27,32,30419,30559]
s[R,A,AB->AA,0(9),55,0,0,0,30640]
s[T,D,AA->AB,1(10),56,6,16,30655,30774]
s[R,A,AB->AA,0(9),56,0,0,0,30855]
s[T,D,AA->AB,1(10),57,6,16,30871,30990]
s[R,A,AB->AA,0(9),57,0,0,0,31071]
s[T,D,AA->AB,1(10),58,11,16,31086,31210]
s[R,A,AB->AA,0(9),58,0,0,0,31291]
s[T,D,AA->AB,1(10),59,0,16,31306,31419]
s[R,A,AB->AA,0(9),59,0,0,0,31500]
s[T,D,AA->AB,1(10),60,15,16,31512,31641]
s[T,DR,AA->AB,1(10),60,27,32,31730,31870]
s[T,DR,AA->AB,1(10),60,25,64,31959,32097]
s[R,A,AB->AA,0(9),60,0,0,0,32178]
s[T,D,AA->AB,1(10),61,13,16,32191,32317]
s[T,DR,AA->AB,1(10),61,2,32,32406,32521]
s[R,A,AB->AA,0(9),61,0,0,0,32602]
s[T,D,AA->AB,1(10),62,13,16,32619,32745]
s[T,DR,AA->AB,1(10),62,29,32,32834,32976]
s[T,DR,AA->AB,1(10),62,50,64,33065,33228]
s[T,DR,AA->AB,1(10),62,49,128,33317,33479]
s[R,A,AB->AA,0(9),62,0,0,0,33560]
s[T,D,AA->AB,1(10),63,14,16,33574,33701]
s[T,DR,AA->AB,1(10),63,18,32,33790,33921]
s[T,DR,AA->AB,1(10),63,58,64,34010,34181]
s[T,DR,AA->AB,1(10),63,108,128,34270,34491]
s[R,A,AB->AA,0(9),63,0,0,0,34572]
s[T,D,AA->AB,1(10),64,1,16,34586,34700]
s[R,A,AB->AA,0(9),64,0,0,0,34781]
s[T,D,AA->AB,1(10),65,4,16,34797,34914]
s[R,A,AB->AA,0(9),65,0,0,0,34995]
s[T,D,AA->AB,1(10),66,8,16,35009,35130]
s[T,DR,AA->AB,1(10),66,22,32,35219,35354]
s[T,DR,AA->AB,1(10),66,29,64,35443,35585]
s[T,DR,AA->AB,1(10),66,49,128,35674,35836]
s[R,A,AB->AA,0(9),66,0,0,0,35917]
s[T,D,AA->AB,1(10),67,1,16,35931,36045]
s[T,DR,AA->AB,1(10),67,17,32,36134,36264]
s[R,A,AB->AA,0(9),67,0,0,0,36345]
s[T,D,AA->AB,1(10),68,5,16,36362,36480]
s[R,A,AB->AA,0(9),68,0,0,0,36561]
s[T,D,AA->AB,1(10),69,4,16,36577,36694]
s[R,A,AB->AA,0(9),69,0,0,0,36775]
s[T,D,AA->AB,1(10),70,8,16,36789,36910]
s[R,A,AB->AA,0(9),70,0,0,0,36991]
s[T,D,AA->AB,1(10),71,6,16,37004,37123]
s[R,A,AB->AA,0(9),71,0,0,0,37204]
s[T,D,AA->AB,1(10),72,5,16,37219,37338]
s[T,DR,AA->AB,1(10),72,27,32,37427,37567]
s[R,A,AB->AA,0(9),72,0,0,0,37648]
s[T,D,AA->AB,0(9),73,11,16,37662,37778]
s[R,A,AB->AA,0(9),73,0,0,0,37859]
s[T,D,AA->AB,1(10),74,5,16,37874,37992]
s[R,A,AB->AA,0(9),74,0,0,0,38073]
s[T,D,AA->AB,1(10),75,10,16,38089,38212]
s[R,A,AB->AA,0(9),75,0,0,0,38293]
s[T,D,AA->AB,1(10),76,3,16,38309,38425]
s[R,A,AB->AA,0(9),76,0,0,0,38506]
s[T,D,AA->AB,1(10),77,2,16,38520,38635]
s[R,A,AB->AA,0(9),77,0,0,0,38716]
s[T,D,AA->AB,1(10),78,11,16,38731,38855]
s[T,DR,AA->AB,1(10),78,8,32,38944,39065]
s[T,DR,AA->AB,1(10),78,33,64,39154,39300]
s[R,A,AB->AA,0(9),78,0,0,0,39381]
s[T,D,AA->AB,1(10),79,0,16,39398,39511]
s[T,DR,AA->AB,1(10),79,29,32,39600,39742]
s[T,DR,AA->AB,1(10),79,23,64,39831,39967]
s[T,DR,AA->AB,1(10),79,120,128,40056,40289]
s[R,A,AB->AA,0(9),79,0,0,0,40370]
s[T,D,AA->AB,1(10),80,9,16,40385,40507]
s[T,DR,AA->AB,1(10),80,18,32,40596,40727]
s[R,A,AB->AA,0(9),80,0,0,0,40808]
s[T,D,AA->AB,1(10),81,13,16,40824,40950]
s[T,DR,AA->AB,1(10),81,21,32,41039,41173]
s[T,DR,AA->AB,1(10),81,56,64,41262,41431]
s[R,A,AB->AA,0(9),81,0,0,0,41512]
s[T,D,AA->AB,1(10),82,11,16,41526,41650]
s[R,A,AB->AA,0(9),82,0,0,0,41731]
s[T,D,AA->AB,1(10),83,10,16,41746,41869]
s[R,A,AB->AA,0(9),83,0,0,0,41950]
s[T,D,AA->AB,1(10),84,9,16,41966,42088]
s[T,DR,AA->AB,1(10),84,24,32,42177,42314]
s[T,DR,AA->AB,1(10),84,23,64,42403,42539]
s[R,A,AB->AA,0(9),84,0,0,0,42620]
s[T,D,AA->AB,1(10),85,13,16,42636,42762]
s[R,A,AB->AA,0(9),85,0,0,0,42843]
s[T,D,AA->AB,1(10),86,0,16,42860,42973]
s[T,DR,AA->AB,1(10),86,17,32,43062,43192]
s[R,A,AB->AA,0(9),86,0,0,0,43273]
s[T,D,AA->AB,1(10),87,4,16,43287,43404]
s[R,A,AB->AA,0(9),87,0,0,0,43485]
s[T,D,AA->AB,1(10),88,12,16,43498,43623]
s[T,DR,AA->AB,1(10),88,27,32,43712,43852]
s[R,A,AB->AA,0(9),88,0,0,0,43933]
s[T,D,AA->AB,1(10),89,10,16,43949,44072]
s[T,DR,AA->AB,1(10),89,21,32,44161,44295]
s[T,DR,AA->AB,1(10),89,39,64,44384,44536]
s[R,A,AB->AA,0(9),89,0,0,0,44617]
s[T,D,AA->AB,1(10),90,12,16,44632,44757]
s[R,A,AB->AA,0(9),90,0,0,0,44838]
s[T,D,AA->AB,1(10),91,8,16,44852,44973]
s[R,A,AB->AA,0(9),91,0,0,0,45054]
s[T,D,AA->AB,1(10),92,2,16,45071,45186]
s[T,DR,AA->AB,1(10),92,16,32,45275,45404]
s[R,A,AB->AA,0(9),92,0,0,0,45485]
s[T,D,AA->AB,1(10),93,6,16,45502,45621]
s[R,A,AB->AA,0(9),93,0,0,0,45702]
s[T,D,AA->AB,1(10),94,9,16,45717,45839]
s[R,A,AB->AA,0(9),94,0,0,0,45920]
