s[T,DR,AA->AB,1(10),46,71,128,6513a[AA]
s[T,D,AA->AB,100(123),0,0,16,7370,8396]
s[T,DR,AA->AB,100(123),0,28,32,8497,9551]
s[T,DR,AA->AB,100(123),0,39,64,9652,10717]
s[T,DR,AA->AB,100(123),0,101,128,10818,11945]
s[T,DR,AA->AB,100(123),0,78,128,12046,13150]
s[R,A,AB->AA,0(9),0,0,0,0,13231]
s[T,D,AA->AB,100(123),1,6,16,13254,14287]
s[T,DR,AA->AB,100(123),1,11,32,14388,15425]
s[T,DR,AA->AB,100(123),1,60,64,15526,16612]
s[T,DR,AA->AB,100(123),1,68,128,16713,17807]
s[T,DR,AA->AB,100(123),1,13,128,17908,18947]
s[T,DR,AA->AB,100(123),1,119,128,19048,20193]
s[T,D,AA->AB,100(123),2,32,128,20318,21377]
s[T,DR,AA->AB,100(123),2,95,128,21478,22599]
s[T,DR,AA->AB,100(123),2,103,128,22700,23829]
s[T,DR,AA->AB,100(123),2,118,128,23930,25074]
s[T,DR,AA->AB,100(123),2,58,128,25175,26259]
s[T,DR,AA->AB,100(123),2,56,128,26360,27442]
s[T,D,AA->AB,100(123),3,20,128,27566,28612]
s[R,A,AB->AA,0(9),3,0,0,0,28693]
s[T,D,AA->AB,100(123),4,13,16,28717,29756]
s[T,DR,AA->AB,100(123),4,19,32,29857,30902]
s[T,DR,AA->AB,100(123),4,49,64,31003,32078]
s[T,DR,AA->AB,100(123),4,31,128,32179,33236]
s[T,DR,AA->AB,100(123),4,70,128,33337,34433]
s[T,DR,AA->AB,100(123),4,78,128,34534,35638]
s[T,D,AA->AB,100(123),5,85,128,35762,36873]
s[T,DR,AA->AB,100(123),5,43,128,36974,38043]
s[T,DR,AA->AB,100(123),5,111,128,38144,39281]
s[T,DR,AA->AB,100(123),5,32,128,39382,40440]
s[T,DR,AA->AB,100(123),5,103,128,40541,41670]
s[T,DR,AA->AB,100(123),5,73,128,41771,42870]
s[T,D,AA->AB,100(123),6,5,128,42994,44025]
s[T,DR,AA->AB,100(123),6,88,128,44126,45240]
s[T,DR,AA->AB,100(123),6,115,128,45341,46482]
s[R,A,AB->AA,0(9),6,0,0,0,46563]
s[T,D,AA->AB,100(123),7,4,16,46587,47618]
s[T,DR,AA->AB,100(123),7,22,32,47719,48767]
s[T,DR,AA->AB,100(123),7,57,64,48868,49951]
s[T,DR,AA->AB,100(123),7,120,128,50052,51198]
s[T,DR,AA->AB,100(123),7,7,128,51299,52332]
s[T,DR,AA->AB,100(123),7,105,128,52433,53564]
s[T,D,AA->AB,100(123),8,13,128,53689,54729]
s[T,DR,AA->AB,100(123),8,26,128,54830,55882]
s[T,DR,AA->AB,100(123),8,43,128,55983,57052]
s[T,DR,AA->AB,100(123),8,96,128,57153,58275]
s[T,DR,AA->AB,100(123),8,19,128,58376,59421]
s[T,DR,AA->AB,100(123),8,116,128,59522,60664]
s[T,D,AA->AB,100(123),9,14,128,60787,61827]
s[T,DR,AA->AB,100(123),9,87,128,61928,63041]
s[T,DR,AA->AB,100(123),9,107,128,63142,64275]
