s[T,DR,AA->AB,1(10),123,31,128,14571a[AA]
s[T,D,AA->AB,1(10),0,0,16,7361,7474]
s[T,DR,AA->AB,1(10),0,8,32,7563,7684]
s[T,DR,AA->AB,1(10),0,50,64,7773,7936]
s[R,A,AB->AA,0(9),0,0,0,0,8017]
s[T,D,AA->AB,1(10),1,4,16,8031,8148]
s[T,DR,AA->AB,1(10),1,27,32,8237,8377]
s[T,DR,AA->AB,1(10),1,10,64,8466,8589]
s[R,A,AB->AA,0(9),1,0,0,0,8670]
s[T,D,AA->AB,1(10),2,9,16,8686,8808]
s[T,DR,AA->AB,1(10),2,20,32,8897,9030]
s[T,DR,AA->AB,1(10),2,52,64,9119,9284]
s[R,A,AB->AA,0(9),2,0,0,0,9365]
s[T,D,AA->AB,1(10),3,9,16,9381,9503]
s[T,DR,AA->AB,1(10),3,30,32,9592,9735]
s[T,DR,AA->AB,1(10),3,54,64,9824,9991]
s[T,DR,AA->AB,1(10),3,115,128,10080,10308]
s[T,DR,AA->AB,1(10),3,58,128,10397,10568]
s[T,DR,AA->AB,1(10),3,29,128,10657,10799]
s[T,D,AA->AB,1(10),4,109,128,10903,11125]
s[R,A,AB->AA,0(9),4,0,0,0,11206]
s[T,D,AA->AB,1(10),5,6,16,11220,11339]
s[T,DR,AA->AB,1(10),5,16,32,11428,11557]
s[T,DR,AA->AB,1(10),5,50,64,11646,11809]
s[T,DR,AA->AB,1(10),5,124,128,11898,12135]
s[T,DR,AA->AB,1(10),5,109,128,12224,12446]
s[T,DR,AA->AB,1(10),5,55,128,12535,12703]
s[T,D,AA->AB,1(10),6,48,128,12808,12969]
s[T,DR,AA->AB,1(10),6,123,128,13058,13294]
s[T,DR,AA->AB,1(10),6,94,128,13383,13590]
s[T,DR,AA->AB,1(10),6,44,128,13679,13836]
s[T,DR,AA->AB,1(10),6,117,128,13925,14155]
s[T,DR,AA->AB,1(10),6,1,128,14244,14358]
s[T,D,AA->AB,1(10),7,37,128,14460,14610]
s[T,DR,AA->AB,1(10),7,56,128,14699,14868]
s[T,DR,AA->AB,1(10),7,107,128,14957,15177]
s[T,DR,AA->AB,1(10),7,82,128,15266,15461]
s[T,DR,AA->AB,1(10),7,127,128,15550,15790]
s[T,DR,AA->AB,1(10),7,93,128,15879,16085]
s[T,D,AA->AB,1(10),8,56,128,16190,16359]
s[R,A,AB->AA,0(9),8,0,0,0,16440]
s[T,D,AA->AB,1(10),9,3,16,16454,16570]
s[T,DR,AA->AB,1(10),9,20,32,16659,16792]
s[T,DR,AA->AB,1(10),9,62,64,16881,17056]
s[R,A,AB->AA,0(9),9,0,0,0,17137]
